iter 1 | avg_loss 2.3314 | avg_accuracy 34.919418692588806
iter 2 | avg_loss 2.21678 | avg_accuracy 42.205495834350586
iter 3 | avg_loss 2.1096000000000004 | avg_accuracy 48.334545493125916
iter 4 | avg_loss 2.00982 | avg_accuracy 53.696027398109436
iter 5 | avg_loss 1.91736 | avg_accuracy 58.390140533447266
iter 6 | avg_loss 1.8319200000000002 | avg_accuracy 62.08104372024536
iter 7 | avg_loss 1.75318 | avg_accuracy 64.54685688018799
iter 8 | avg_loss 1.6807199999999998 | avg_accuracy 66.95021152496338
iter 9 | avg_loss 1.6139800000000002 | avg_accuracy 69.16559934616089
iter 10 | avg_loss 1.55254 | avg_accuracy 71.17544651031494
iter 11 | avg_loss 1.49586 | avg_accuracy 72.5677502155304
iter 12 | avg_loss 1.4435600000000002 | avg_accuracy 73.63571405410767
iter 13 | avg_loss 1.3951600000000002 | avg_accuracy 74.74084734916687
iter 14 | avg_loss 1.3503 | avg_accuracy 75.82696914672852
iter 15 | avg_loss 1.3086200000000001 | avg_accuracy 76.45196795463562
iter 16 | avg_loss 1.2698399999999999 | avg_accuracy 77.4365484714508
iter 17 | avg_loss 1.23362 | avg_accuracy 78.16330552101135
iter 18 | avg_loss 1.1998199999999999 | avg_accuracy 78.80938768386841
iter 19 | avg_loss 1.1681000000000001 | avg_accuracy 79.33630108833313
iter 20 | avg_loss 1.1383800000000002 | avg_accuracy 79.80698823928833
iter 21 | avg_loss 1.11042 | avg_accuracy 80.35642981529236
iter 22 | avg_loss 1.0840800000000002 | avg_accuracy 80.91270565986633
iter 23 | avg_loss 1.05926 | avg_accuracy 81.38864755630493
iter 24 | avg_loss 1.0357800000000001 | avg_accuracy 81.79161548614502
iter 25 | avg_loss 1.01356 | avg_accuracy 81.89861178398132
iter 26 | avg_loss 0.9925199999999998 | avg_accuracy 82.12046384811401
iter 27 | avg_loss 0.9725999999999999 | avg_accuracy 82.4192726612091
iter 28 | avg_loss 0.9536199999999999 | avg_accuracy 82.70920634269714
iter 29 | avg_loss 0.9355600000000001 | avg_accuracy 83.1875479221344
iter 30 | avg_loss 0.9183999999999999 | avg_accuracy 83.49929928779602
iter 31 | avg_loss 0.90202 | avg_accuracy 83.61676812171936
iter 32 | avg_loss 0.88636 | avg_accuracy 83.70453596115112
iter 33 | avg_loss 0.8714400000000001 | avg_accuracy 83.96439552307129
iter 34 | avg_loss 0.8571199999999999 | avg_accuracy 84.19396996498108
iter 35 | avg_loss 0.84346 | avg_accuracy 84.4487714767456
iter 36 | avg_loss 0.83036 | avg_accuracy 84.67360377311707
iter 37 | avg_loss 0.81776 | avg_accuracy 84.80618000030518
iter 38 | avg_loss 0.80572 | avg_accuracy 84.95075464248657
iter 39 | avg_loss 0.79412 | avg_accuracy 85.17778992652893
iter 40 | avg_loss 0.78296 | avg_accuracy 85.35636305809021
iter 41 | avg_loss 0.77224 | avg_accuracy 85.47778964042664
iter 42 | avg_loss 0.7619199999999999 | avg_accuracy 85.5908203125
