iter 1 | avg_loss 2.44664 | avg_accuracy 26.451867818832397
iter 2 | avg_loss 2.27864 | avg_accuracy 64.83878374099731
iter 3 | avg_loss 2.22642 | avg_accuracy 85.4824960231781
iter 4 | avg_loss 2.22566 | avg_accuracy 91.82315587997437
iter 5 | avg_loss 2.20946 | avg_accuracy 92.19784736633301
iter 6 | avg_loss 2.203 | avg_accuracy 92.3541784286499
iter 7 | avg_loss 2.21128 | avg_accuracy 92.55986332893372
iter 8 | avg_loss 2.22056 | avg_accuracy 93.37084174156189
iter 9 | avg_loss 2.2221 | avg_accuracy 91.63474202156067
iter 10 | avg_loss 2.2028999999999996 | avg_accuracy 91.9459855556488
iter 11 | avg_loss 2.2352 | avg_accuracy 93.27955842018127
iter 12 | avg_loss 2.2455 | avg_accuracy 93.41048121452332
iter 13 | avg_loss 2.2301800000000003 | avg_accuracy 92.68190503120422
iter 14 | avg_loss 2.22364 | avg_accuracy 92.21684098243713
iter 15 | avg_loss 2.22532 | avg_accuracy 92.7912700176239
iter 16 | avg_loss 2.22138 | avg_accuracy 92.45095014572144
iter 17 | avg_loss 2.24412 | avg_accuracy 92.88997769355774
iter 18 | avg_loss 2.2134 | avg_accuracy 92.790287733078
iter 19 | avg_loss 2.21962 | avg_accuracy 90.52616596221924
iter 20 | avg_loss 2.23884 | avg_accuracy 92.1594774723053
iter 21 | avg_loss 2.23078 | avg_accuracy 92.6264226436615
iter 22 | avg_loss 2.2237199999999997 | avg_accuracy 92.42158889770508
iter 23 | avg_loss 2.22078 | avg_accuracy 92.06813216209412
iter 24 | avg_loss 2.2237199999999997 | avg_accuracy 93.29965233802795
iter 25 | avg_loss 2.2038800000000003 | avg_accuracy 92.63248085975647
iter 26 | avg_loss 2.2327399999999997 | avg_accuracy 92.87616968154907
iter 27 | avg_loss 2.21204 | avg_accuracy 92.80057311058044
iter 28 | avg_loss 2.2212199999999998 | avg_accuracy 92.61703610420227
iter 29 | avg_loss 2.20248 | avg_accuracy 92.5071907043457
iter 30 | avg_loss 2.23228 | avg_accuracy 92.76321291923523
iter 31 | avg_loss 2.2434200000000004 | avg_accuracy 92.76023030281067
iter 32 | avg_loss 2.2506399999999998 | avg_accuracy 93.02594304084778
iter 33 | avg_loss 2.25 | avg_accuracy 92.97075986862183
iter 34 | avg_loss 2.23488 | avg_accuracy 92.90927290916443
iter 35 | avg_loss 2.2296 | avg_accuracy 92.71268486976624
iter 36 | avg_loss 2.2083999999999997 | avg_accuracy 92.92853951454163
iter 37 | avg_loss 2.1965 | avg_accuracy 92.5550639629364
iter 38 | avg_loss 2.19086 | avg_accuracy 92.19889402389526
iter 39 | avg_loss 2.19516 | avg_accuracy 92.34561443328857
iter 40 | avg_loss 2.21504 | avg_accuracy 93.30331206321716
iter 41 | avg_loss 2.24224 | avg_accuracy 93.32450270652771
iter 42 | avg_loss 2.23176 | avg_accuracy 90.96706628799438
iter 43 | avg_loss 2.2272600000000002 | avg_accuracy 93.38316679000854
iter 44 | avg_loss 2.2251800000000004 | avg_accuracy 91.35800361633301
iter 45 | avg_loss 2.2250799999999997 | avg_accuracy 93.44076991081238
iter 46 | avg_loss 2.22112 | avg_accuracy 92.79963850975037
iter 47 | avg_loss 2.24406 | avg_accuracy 93.0698812007904
iter 48 | avg_loss 2.23266 | avg_accuracy 90.79165577888489
iter 49 | avg_loss 2.24782 | avg_accuracy 92.38696932792664
iter 50 | avg_loss 2.23426 | avg_accuracy 92.69506216049194
iter 51 | avg_loss 2.2450200000000002 | avg_accuracy 93.49844813346863
iter 52 | avg_loss 2.23326 | avg_accuracy 93.10834646224976
iter 53 | avg_loss 2.22904 | avg_accuracy 92.72924900054932
iter 54 | avg_loss 2.20826 | avg_accuracy 92.87073612213135
iter 55 | avg_loss 2.2401000000000004 | avg_accuracy 93.24939131736755
iter 56 | avg_loss 2.246 | avg_accuracy 93.15829634666443
iter 57 | avg_loss 2.25148 | avg_accuracy 93.08956742286682
iter 58 | avg_loss 2.23266 | avg_accuracy 92.78881430625916
iter 59 | avg_loss 2.2278399999999996 | avg_accuracy 90.583575963974
iter 60 | avg_loss 2.21002 | avg_accuracy 91.54064297676086
iter 61 | avg_loss 2.23506 | avg_accuracy 92.63124585151672
iter 62 | avg_loss 2.2444200000000003 | avg_accuracy 92.6831328868866
iter 63 | avg_loss 2.23292 | avg_accuracy 90.4474151134491
iter 64 | avg_loss 2.2275400000000003 | avg_accuracy 93.36626410484314
iter 65 | avg_loss 2.22226 | avg_accuracy 92.74600744247437
iter 66 | avg_loss 2.22484 | avg_accuracy 92.79771447181702
iter 67 | avg_loss 2.24218 | avg_accuracy 93.4253978729248
iter 68 | avg_loss 2.2287399999999997 | avg_accuracy 92.67698764801025
iter 69 | avg_loss 2.2434399999999997 | avg_accuracy 93.24442505836487
iter 70 | avg_loss 2.25044 | avg_accuracy 93.42629551887512
iter 71 | avg_loss 2.2322200000000003 | avg_accuracy 92.92689204216003
iter 72 | avg_loss 2.24326 | avg_accuracy 92.82147526741028
iter 73 | avg_loss 2.21312 | avg_accuracy 92.40926384925842
iter 74 | avg_loss 2.20126 | avg_accuracy 92.59397149085999
iter 75 | avg_loss 2.2379599999999997 | avg_accuracy 93.3358085155487
iter 76 | avg_loss 2.2462000000000004 | avg_accuracy 93.67702126502991
iter 77 | avg_loss 2.2145799999999998 | avg_accuracy 92.90384292602539
iter 78 | avg_loss 2.2218600000000004 | avg_accuracy 93.24332475662231
iter 79 | avg_loss 2.22256 | avg_accuracy 91.80938720703125
iter 80 | avg_loss 2.20488 | avg_accuracy 92.8838574886322
iter 81 | avg_loss 2.21856 | avg_accuracy 92.97749161720276
iter 82 | avg_loss 2.21834 | avg_accuracy 92.55881309509277
iter 83 | avg_loss 2.22348 | avg_accuracy 92.59752154350281
iter 84 | avg_loss 2.2247999999999997 | avg_accuracy 93.48500847816467
iter 85 | avg_loss 2.24514 | avg_accuracy 93.29182028770447
iter 86 | avg_loss 2.21384 | avg_accuracy 92.95872092247009
iter 87 | avg_loss 2.21976 | avg_accuracy 90.67312002182007
iter 88 | avg_loss 2.22392 | avg_accuracy 92.05130696296692
iter 89 | avg_loss 2.2256 | avg_accuracy 92.39811420440674
iter 90 | avg_loss 2.22482 | avg_accuracy 90.54653406143188
iter 91 | avg_loss 2.24552 | avg_accuracy 92.37523674964905
