iter 1 | avg_loss 0.7069799999999999 | avg_accuracy 96.27401113510132
iter 2 | avg_loss 0.6248199999999999 | avg_accuracy 96.47937059402466
iter 3 | avg_loss 0.5799399999999999 | avg_accuracy 96.45983934402466
iter 4 | avg_loss 0.3807 | avg_accuracy 96.59781575202942
iter 5 | avg_loss 0.49470000000000003 | avg_accuracy 96.4783227443695
iter 6 | avg_loss 0.53416 | avg_accuracy 96.47621035575867
iter 7 | avg_loss 0.54958 | avg_accuracy 96.49092674255371
iter 8 | avg_loss 0.56324 | avg_accuracy 96.46035671234131
iter 9 | avg_loss 0.56228 | avg_accuracy 96.47163271903992
iter 10 | avg_loss 0.54528 | avg_accuracy 96.54228448867798
iter 11 | avg_loss 0.5589799999999999 | avg_accuracy 96.48986339569092
iter 12 | avg_loss 0.3742 | avg_accuracy 96.53472423553467
iter 13 | avg_loss 0.33089999999999997 | avg_accuracy 96.56627058982849
iter 14 | avg_loss 0.32224 | avg_accuracy 96.61895632743835
iter 15 | avg_loss 0.4638 | avg_accuracy 96.60677909851074
iter 16 | avg_loss 0.51468 | avg_accuracy 96.55084252357483
iter 17 | avg_loss 0.35132 | avg_accuracy 96.52431845664978
iter 18 | avg_loss 0.4822399999999999 | avg_accuracy 96.49303913116455
iter 19 | avg_loss 0.35504 | avg_accuracy 96.52099609375
iter 20 | avg_loss 0.47374 | avg_accuracy 96.40707969665527
iter 21 | avg_loss 0.51512 | avg_accuracy 96.56793594360352
iter 22 | avg_loss 0.54166 | avg_accuracy 96.42557740211487
iter 23 | avg_loss 0.53304 | avg_accuracy 96.57198429107666
iter 24 | avg_loss 0.36888000000000004 | avg_accuracy 96.56627058982849
iter 25 | avg_loss 0.48929999999999996 | avg_accuracy 96.47163271903992
iter 26 | avg_loss 0.52286 | avg_accuracy 96.52140974998474
iter 27 | avg_loss 0.5412199999999999 | avg_accuracy 96.55084252357483
iter 28 | avg_loss 0.55946 | avg_accuracy 96.51054620742798
iter 29 | avg_loss 0.55634 | avg_accuracy 96.41217470169067
iter 30 | avg_loss 0.37279999999999996 | avg_accuracy 96.53472423553467
iter 31 | avg_loss 0.4905799999999999 | avg_accuracy 96.45691633224487
iter 32 | avg_loss 0.35922 | avg_accuracy 96.55254125595093
iter 33 | avg_loss 0.47542 | avg_accuracy 96.42179608345032
iter 34 | avg_loss 0.34714000000000006 | avg_accuracy 96.6227376461029
iter 35 | avg_loss 0.33028 | avg_accuracy 96.52099609375
iter 36 | avg_loss 0.46356 | avg_accuracy 96.40707969665527
iter 37 | avg_loss 0.5195000000000001 | avg_accuracy 96.52485013008118
iter 38 | avg_loss 0.5500999999999999 | avg_accuracy 96.46035671234131
iter 39 | avg_loss 0.55714 | avg_accuracy 96.47163271903992
iter 40 | avg_loss 0.54348 | avg_accuracy 96.54228448867798
iter 41 | avg_loss 0.56516 | avg_accuracy 96.52053833007812
iter 42 | avg_loss 0.5617599999999998 | avg_accuracy 96.47594332695007
iter 43 | avg_loss 0.3756 | avg_accuracy 96.52099609375
iter 44 | avg_loss 0.48608 | avg_accuracy 96.46035671234131
iter 45 | avg_loss 0.5165399999999999 | avg_accuracy 96.5743625164032
iter 46 | avg_loss 0.53512 | avg_accuracy 96.55084252357483
iter 47 | avg_loss 0.54704 | avg_accuracy 96.55084252357483
iter 48 | avg_loss 0.35856000000000005 | avg_accuracy 96.52431845664978
iter 49 | avg_loss 0.48594 | avg_accuracy 96.45340085029602
iter 50 | avg_loss 0.35478 | avg_accuracy 96.56627058982849
iter 51 | avg_loss 0.4787 | avg_accuracy 96.37439727783203
iter 52 | avg_loss 0.5279999999999999 | avg_accuracy 96.45340085029602
iter 53 | avg_loss 0.5431800000000001 | avg_accuracy 96.4619529247284
iter 54 | avg_loss 0.54614 | avg_accuracy 96.42557740211487
iter 55 | avg_loss 0.55414 | avg_accuracy 96.47189736366272
iter 56 | avg_loss 0.5499799999999999 | avg_accuracy 96.55084252357483
iter 57 | avg_loss 0.5431199999999999 | avg_accuracy 96.57145142555237
iter 58 | avg_loss 0.5569599999999999 | avg_accuracy 96.49303913116455
iter 59 | avg_loss 0.5585 | avg_accuracy 96.50775671005249
iter 60 | avg_loss 0.5462 | avg_accuracy 96.53639078140259
iter 61 | avg_loss 0.55288 | avg_accuracy 96.42417430877686
iter 62 | avg_loss 0.56814 | avg_accuracy 96.47480845451355
iter 63 | avg_loss 0.35928 | avg_accuracy 96.53876900672913
iter 64 | avg_loss 0.48477999999999993 | avg_accuracy 96.49303913116455
iter 65 | avg_loss 0.35392 | avg_accuracy 96.5373682975769
iter 66 | avg_loss 0.33277999999999996 | avg_accuracy 96.57507300376892
iter 67 | avg_loss 0.47451999999999994 | avg_accuracy 96.46360635757446
iter 68 | avg_loss 0.51264 | avg_accuracy 96.50344371795654
iter 69 | avg_loss 0.3506600000000001 | avg_accuracy 96.5558648109436
iter 70 | avg_loss 0.4761 | avg_accuracy 96.39262914657593
iter 71 | avg_loss 0.34043999999999996 | avg_accuracy 96.497403383255
iter 72 | avg_loss 0.32598000000000005 | avg_accuracy 96.55181884765625
iter 73 | avg_loss 0.4713 | avg_accuracy 96.45691633224487
iter 74 | avg_loss 0.35416 | avg_accuracy 96.55254125595093
iter 75 | avg_loss 0.47905999999999993 | avg_accuracy 96.49330496788025
iter 76 | avg_loss 0.5283800000000001 | avg_accuracy 96.45744681358337
