iter 1 | avg_loss 0.51456 | avg_accuracy 96.97574853897095
iter 2 | avg_loss 0.30148 | avg_accuracy 97.09129691123962
iter 3 | avg_loss 0.17215999999999998 | avg_accuracy 96.92078471183777
iter 4 | avg_loss 0.10742000000000003 | avg_accuracy 96.87416672706604
iter 5 | avg_loss 0.0809761402 | avg_accuracy 96.85593485832214
iter 6 | avg_loss 0.0681731842 | avg_accuracy 96.78785443305969
iter 7 | avg_loss 0.06035122919999999 | avg_accuracy 96.80196762084961
iter 8 | avg_loss 0.054969822599999996 | avg_accuracy 96.80189371109009
iter 9 | avg_loss 0.051028797400000006 | avg_accuracy 96.7909586429596
iter 10 | avg_loss 0.048008034600000006 | avg_accuracy 96.82012557983398
iter 11 | avg_loss 0.045547367 | avg_accuracy 96.80540919303894
iter 12 | avg_loss 0.0434268186 | avg_accuracy 96.80189371109009
iter 13 | avg_loss 0.0416463896 | avg_accuracy 96.80162787437439
iter 14 | avg_loss 0.040086008000000006 | avg_accuracy 96.81985974311829
iter 15 | avg_loss 0.0387256742 | avg_accuracy 96.80514335632324
iter 16 | avg_loss 0.037525412 | avg_accuracy 96.81959390640259
iter 17 | avg_loss 0.036165197399999995 | avg_accuracy 96.81959390640259
iter 18 | avg_loss 0.035284982799999996 | avg_accuracy 96.7673659324646
iter 19 | avg_loss 0.0345047922 | avg_accuracy 96.6898238658905
iter 20 | avg_loss 0.0336646252 | avg_accuracy 96.64242506027222
iter 21 | avg_loss 0.0328844584 | avg_accuracy 96.64242506027222
iter 22 | avg_loss 0.0321842914 | avg_accuracy 96.64242506027222
iter 23 | avg_loss 0.0315641484 | avg_accuracy 96.64620637893677
iter 24 | avg_loss 0.030984005400000004 | avg_accuracy 96.66092276573181
iter 25 | avg_loss 0.030463886199999995 | avg_accuracy 96.66092276573181
iter 26 | avg_loss 0.029963766999999995 | avg_accuracy 96.64269089698792
iter 27 | avg_loss 0.0295236954 | avg_accuracy 96.62586092948914
iter 28 | avg_loss 0.029143576200000004 | avg_accuracy 96.65740728378296
iter 29 | avg_loss 0.0287235048 | avg_accuracy 96.64647102355957
iter 30 | avg_loss 0.028383409400000004 | avg_accuracy 96.6002082824707
iter 31 | avg_loss 0.028043337800000002 | avg_accuracy 96.6002082824707
iter 32 | avg_loss 0.0277432424 | avg_accuracy 96.58549070358276
iter 33 | avg_loss 0.027443171 | avg_accuracy 96.58549070358276
iter 34 | avg_loss 0.027143075600000004 | avg_accuracy 96.58522605895996
